,channel_name,publish_date,length,recipe_0,recipe_1,recipe_2,recipe_3,recipe_4,recipe_5,recipe_6,recipe_7,recipe_8,recipe_9,recipe_10,recipe_11,genome_0,genome_1,genome_2,genome_3,genome_4,genome_5,genome_6,genome_7,genome_8,genome_9,genome_10,genome_11,genome_12,genome_13,genome_14,genome_15,genome_16,genome_17,genome_18,genome_19,genome_20,genome_21,genome_22,genome_23,genome_24,genome_25,genome_26,genome_27,genome_28,genome_29,Views
188,French,19.11.12,609,0.048118638,0.022667728,0.396897657,0.046288506,0.449189178,0.633278754,0.033637659,0.183364302,0.183356956,0.230192749,0.019032615,0.052068582,8.93e-05,3.3e-05,8.56e-05,0.000121468,2.63e-05,2.5e-06,4.16e-05,4.1e-05,3.09e-05,8.08e-05,9.92e-06,1.35e-05,6.81e-05,9.25e-05,1.3e-05,3.02e-06,8.66e-07,0.009718949,1.12e-07,1e-05,2.68e-05,1.87e-06,1.34e-05,2.73e-06,4.08e-07,6.85e-06,4.84e-05,2.78e-05,7.2e-05,9.41e-06,42772
189,French,05.10.12,47,0.275359893,0.105275894,0.095151996,0.10508937,0.706987019,0.298229687,0.036869608,0.501071123,0.200699956,0.145955016,0.208239212,0.223437203,0.024519889,0.016977932,0.001963495,0.045211088,0.000686897,0.000573783,0.001467132,0.000259157,0.003652224,0.000226609,0.000203612,0.000247647,0.000155247,0.002553125,0.001787379,0.001930633,0.000261945,2.75e-05,0.000691641,0.000719083,0.000255638,0.406041622,0.002580583,8.29e-05,0.000340985,0.000168646,0.000520369,0.000778318,0.032095965,0.000192041,22136
190,French,01.10.12,47,0.061732685,0.044270042,0.107782623,0.159996076,0.84079445,0.295403632,0.036519486,0.384334883,0.320262253,0.404281851,0.030930905,0.145188218,0.15880537,0.02911582,0.005127366,0.007072393,0.003890229,0.00116359,0.003313013,0.021506356,6.62e-05,0.000137309,0.005820788,0.006799247,0.000278159,0.007007878,3.72e-05,8.6e-05,0.001753382,0.00399966,0.001426409,0.000641206,0.000502837,0.001202022,0.011876939,0.000547257,0.000116504,0.000380999,0.000524074,0.000839402,0.000359481,0.000918328,4571
191,French,31.08.12,120,0.035381236,0.013076821,0.202185565,0.025467314,0.317790747,0.597147749,0.021260763,0.313792486,0.089060013,0.086609813,0.020975647,0.035116798,0.038115252,0.020452056,0.064342596,0.029338695,0.012390094,0.000695744,0.003409897,0.010299717,0.000249524,0.004267173,0.00641999,0.005529718,0.001540242,0.000960153,2.16e-05,0.000275588,0.000273207,0.000398544,0.000429055,0.122262478,0.000483154,0.003538568,0.026142819,0.007948359,0.007859486,0.000255945,0.006471326,0.000101682,0.000112622,0.000893843,283
192,French,25.04.12,193,0.440625021,0.107068569,0.138233558,0.465459686,0.534822846,0.198863605,0.208481131,0.191544491,0.609592011,0.104039994,0.171400148,0.575413321,0.001332778,0.000979706,0.000580648,1.62e-05,0.000251893,1.27e-05,0.000174285,0.000125078,0.000172459,1.11e-05,6.11e-05,2.13e-05,1.64e-05,0.000378862,0.000697605,0.000629634,1.15e-05,0.000189044,9.06e-06,2.67e-06,0.000175738,3.01e-06,3.16e-05,9.07e-06,2.31e-05,0.000199933,2.83e-05,1.23e-05,6.6e-05,0.000196175,851
193,French,13.04.12,45,0.060394197,0.033827155,0.222568969,0.163123266,0.739220438,0.503145717,0.036867102,0.269243648,0.227611404,0.234057743,0.062084253,0.123453039,0.012795219,0.004630518,0.048390534,0.002366108,0.008470375,0.001215904,0.014567105,0.055079222,0.000797403,3.12e-05,0.000535898,0.001107085,0.009068752,0.011854701,1.98e-05,0.00799786,0.000244956,0.006183738,0.000350578,9.54e-05,0.00082989,2.86e-05,0.000676031,0.000474808,0.000236023,0.000473387,0.000254248,0.000127683,2.68e-05,0.00156392,2701
194,French,04.04.12,40,0.039427618,0.03570852,0.312873157,0.034851121,0.502960581,0.555945836,0.039293687,0.197610302,0.246444588,0.233727112,0.032394966,0.054775954,0.006687912,0.003657534,0.042058773,0.002996579,0.00753876,0.000626603,0.010541303,3.42e-05,4.66e-05,0.000295363,1.26e-05,6.31e-05,0.001806211,0.002548535,0.00013902,0.000136682,0.000662564,6.15e-06,2.08e-05,0.000229153,0.000109214,2.93e-05,6.69e-05,1.88e-05,3.52e-05,9.41e-05,9.28e-05,0.001276987,2.27e-05,0.001993958,830
195,French,07.11.11,11,0.033905981,0.078233941,0.249137033,0.027647921,0.455765181,0.448106838,0.012264771,0.392650631,0.159172395,0.054583635,0.014327137,0.017246552,0.117631406,0.025338642,0.006034966,0.000291104,0.000948287,0.000151495,0.000162729,2.9e-05,0.000156861,0.000222002,4.22e-05,0.000648402,7.89e-05,0.002961319,0.001558365,6.11e-05,0.000141741,1.03e-05,0.00020161,5.78e-06,0.012459079,0.000194407,6.36e-05,1.32e-05,0.000135413,0.012607127,0.001937592,0.000321779,0.01461022,0.000466317,2195
196,French,07.11.11,12,0.108968947,0.09982584,0.31308354,0.132037215,0.749154097,0.375009881,0.036226613,0.253819926,0.371119214,0.157608602,0.030586396,0.092060429,0.009514633,0.003571795,0.006764584,0.000753403,0.000718873,9.99e-05,0.000267337,2.51e-05,0.00011098,7.1e-05,1.01e-05,0.000121513,0.000116559,0.00204346,0.000129148,8.07e-05,1.48e-05,2.62e-05,1.9e-05,6.36e-06,0.001524016,0.001358903,2.86e-05,6.54e-06,2.15e-05,0.001370013,0.005990277,0.000463557,0.009234834,0.000230337,1689
197,French,07.11.11,19,0.074770477,0.281294366,0.353583826,0.034068867,0.465108699,0.992777252,0.031162883,0.007075728,0.000139245,0.113480346,0.022974444,0.02843409,0.001366499,0.001367263,0.005599765,0.000843117,0.000831521,0.00010149,0.0001353,2.28e-05,0.000117709,8.14e-05,3.73e-05,8.48e-05,5.34e-05,0.001477374,1.85e-05,5.31e-05,0.000232216,3.4e-05,2.84e-05,7.63e-06,0.001787056,0.005777408,0.000273692,8.18e-06,5.6e-05,0.00205028,0.003745429,0.000488677,0.014410589,0.000406697,1621
198,French,07.11.11,13,0.046561802,0.08935321,0.281576957,0.035780257,0.678530072,0.554361714,0.037658933,0.288149064,0.157451466,0.11974827,0.021450798,0.032069612,0.017517475,0.007605009,0.03162501,0.000943122,0.002251028,0.000252283,0.001942367,0.000285077,0.000475786,6.65e-05,6e-05,0.000366673,0.000389434,0.057173535,0.00029049,0.00017178,4.78e-05,3.66e-05,3.35e-05,1.06e-05,0.000887205,2.57e-05,2.58e-05,1.61e-05,4.6e-05,0.00092279,0.001267276,0.000619684,0.07251519,0.000864017,1422
199,French,07.11.11,14,0.085942175,0.086321702,0.258544147,0.077211883,0.769012637,0.564615836,0.050626096,0.305773082,0.129573326,0.188218941,0.023819946,0.067786907,0.007716264,0.004164995,0.016635638,0.000462897,0.000474907,4.78e-05,0.000171633,0.000140809,0.000332533,6.08e-05,1.18e-05,0.000182234,0.000327931,0.007912998,0.000261943,3.6e-05,5.6e-05,1.16e-05,6.18e-05,1.75e-06,0.000324929,0.000111031,2.59e-05,1.05e-05,7.96e-05,0.00020282,0.000916264,0.000171239,0.132043317,0.000158478,1353
200,French,07.11.11,18,0.080806809,0.357109274,0.355626065,0.050155684,0.609469164,0.497335802,0.022432114,0.321318319,0.181335904,0.143798329,0.030663608,0.039557585,0.005886146,0.002472874,0.006855511,0.000458113,0.000350921,0.00015129,0.000232303,2.87e-05,0.000148007,4.24e-05,4.46e-06,8.28e-05,0.000138819,0.004736162,0.000245773,1.38e-05,6.79e-06,2.45e-06,3.51e-05,6.37e-07,0.000652164,2.41e-05,2.11e-05,3.86e-06,4.78e-06,0.000997516,0.001054308,0.00010284,0.330616415,0.000159896,971
201,French,07.11.11,22,0.093110423,0.341534845,0.237638378,0.030427778,0.486080362,0.884082698,0.094850257,0.107979976,0.007933674,0.088448524,0.039068149,0.064585476,0.016745219,0.007840643,0.016018068,0.000612895,0.00425597,0.000688638,0.003522282,0.000102021,6.27e-05,1.87e-05,0.000121021,0.000240597,0.000173382,0.007390952,2.62e-05,0.000115974,2.14e-05,0.000180698,2.67e-05,3.12e-05,0.001528853,5.29e-05,2.92e-05,1.45e-05,6.8e-05,0.001241262,0.011814909,0.001069128,0.042586595,0.001156317,508
202,French,07.11.11,16,0.079821885,0.120192511,0.280981666,0.063641174,0.585295242,0.818078314,0.047549362,0.093362816,0.088542279,0.131677014,0.02696972,0.060189854,0.004388135,0.001744298,0.00294025,0.001375335,0.001079644,0.000156616,0.000492981,1.56e-05,0.001391969,0.000160704,3.63e-05,0.000441414,0.000128898,0.001569889,2.03e-05,0.000840748,2.81e-05,2.51e-05,3.88e-05,2.18e-05,0.001246182,0.000111266,2.91e-05,1.18e-05,9.56e-06,0.000879138,0.003686131,0.000434262,0.112974755,0.000479378,513
